song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
All Of The Lights,Kanye West,77,0.531,0.803,1.0,-3.284,1.0,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,audio_features,22L7bfCiAkJo5xGSQgmiIO,spotify:track:22L7bfCiAkJo5xGSQgmiIO,https://api.spotify.com/v1/tracks/22L7bfCiAkJo5xGSQgmiIO,https://api.spotify.com/v1/audio-analysis/22L7bfCiAkJo5xGSQgmiIO,299613.0,4.0
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator & Frank Ocean & Steve Lacy",75,0.48,0.61,0.0,-7.042,1.0,0.305,0.0456,0.0,0.313,0.297,90.034,audio_features,4bEcoz1OcfMgUbp2ft8ieQ,spotify:track:4bEcoz1OcfMgUbp2ft8ieQ,https://api.spotify.com/v1/tracks/4bEcoz1OcfMgUbp2ft8ieQ,https://api.spotify.com/v1/audio-analysis/4bEcoz1OcfMgUbp2ft8ieQ,255653.0,4.0
You Make Me Feel... (feat. Sabi),Cobra Starship & Sabi,72,0.668,0.857,7.0,-2.944,0.0,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959,audio_features,16Of7eeW44kt0a1M0nitHM,spotify:track:16Of7eeW44kt0a1M0nitHM,https://api.spotify.com/v1/tracks/16Of7eeW44kt0a1M0nitHM,https://api.spotify.com/v1/audio-analysis/16Of7eeW44kt0a1M0nitHM,215693.0,4.0
Good Life,OneRepublic,74,0.634,0.69,6.0,-7.804,1.0,0.052,0.0771,0.0,0.132,0.645,94.988,audio_features,6OtCIsQZ64Vs1EbzztvAv4,spotify:track:6OtCIsQZ64Vs1EbzztvAv4,https://api.spotify.com/v1/tracks/6OtCIsQZ64Vs1EbzztvAv4,https://api.spotify.com/v1/audio-analysis/6OtCIsQZ64Vs1EbzztvAv4,253307.0,4.0
I Wanna Go,Britney Spears,67,0.696,0.546,5.0,-6.55,1.0,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,audio_features,5cCAZS9VhLGEDV4NCfieeg,spotify:track:5cCAZS9VhLGEDV4NCfieeg,https://api.spotify.com/v1/tracks/5cCAZS9VhLGEDV4NCfieeg,https://api.spotify.com/v1/audio-analysis/5cCAZS9VhLGEDV4NCfieeg,210267.0,4.0
How To Love,Lil Wayne,64,0.644,0.661,11.0,-6.093,1.0,0.0418,0.000177,5.23e-06,0.108,0.272,153.992,audio_features,5W7BcYDIaeXnpG3e39T7hJ,spotify:track:5W7BcYDIaeXnpG3e39T7hJ,https://api.spotify.com/v1/tracks/5W7BcYDIaeXnpG3e39T7hJ,https://api.spotify.com/v1/audio-analysis/5W7BcYDIaeXnpG3e39T7hJ,240307.0,4.0
Midnight City,M83,72,0.526,0.712,11.0,-6.525,0.0,0.0356,0.0161,0.0,0.179,0.32,105.009,audio_features,1eyzqe2QqGZUmfcPZtrIyt,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,https://api.spotify.com/v1/tracks/1eyzqe2QqGZUmfcPZtrIyt,https://api.spotify.com/v1/audio-analysis/1eyzqe2QqGZUmfcPZtrIyt,241440.0,4.0
Little Bad Girl (feat. Taio Cruz & Ludacris),David Guetta & Ludacris & Taio Cruz,43,0.668,0.829,11.0,-2.748,0.0,0.0334,0.00572,0.0,0.358,0.649,127.009,audio_features,6JH56gZC7EJDcoxabVcWVL,spotify:track:6JH56gZC7EJDcoxabVcWVL,https://api.spotify.com/v1/tracks/6JH56gZC7EJDcoxabVcWVL,https://api.spotify.com/v1/audio-analysis/6JH56gZC7EJDcoxabVcWVL,192276.0,4.0
Just A Kiss,Lady A,65,0.593,0.639,1.0,-5.826,1.0,0.0307,0.446,0.0,0.0998,0.332,142.881,audio_features,2OXidlnDThZR3zf36k6DVL,spotify:track:2OXidlnDThZR3zf36k6DVL,https://api.spotify.com/v1/tracks/2OXidlnDThZR3zf36k6DVL,https://api.spotify.com/v1/audio-analysis/2OXidlnDThZR3zf36k6DVL,218840.0,4.0
Cheers (Drink To That),Rihanna,52,0.576,0.912,9.0,-3.623,1.0,0.0403,0.0182,0.0,0.293,0.727,79.981,audio_features,46MDLc0Yip6xCMSsdePOAU,spotify:track:46MDLc0Yip6xCMSsdePOAU,https://api.spotify.com/v1/tracks/46MDLc0Yip6xCMSsdePOAU,https://api.spotify.com/v1/audio-analysis/46MDLc0Yip6xCMSsdePOAU,261747.0,4.0
