song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Something in the Orange - Z&E's Version,Zach Bryan,70,0.594,0.382,7.0,-5.432,1.0,0.0292,0.416,0.0,0.117,0.223,110.237,audio_features,7lNmcW2wW6ciV9Rhh8YOMe,spotify:track:7lNmcW2wW6ciV9Rhh8YOMe,https://api.spotify.com/v1/tracks/7lNmcW2wW6ciV9Rhh8YOMe,https://api.spotify.com/v1/audio-analysis/7lNmcW2wW6ciV9Rhh8YOMe,254258.0,4.0
What My World Spins Around,Jordan Davis,79,0.675,0.726,2.0,-6.459,1.0,0.0461,0.105,0.0,0.153,0.671,124.872,audio_features,6HBRLaSQ7NB8MNlaqzYen1,spotify:track:6HBRLaSQ7NB8MNlaqzYen1,https://api.spotify.com/v1/tracks/6HBRLaSQ7NB8MNlaqzYen1,https://api.spotify.com/v1/audio-analysis/6HBRLaSQ7NB8MNlaqzYen1,186791.0,4.0
2 Be Loved (Am I Ready),Lizzo,85,0.721,0.769,7.0,-4.111,1.0,0.105,0.0922,0.0,0.0817,0.915,155.932,audio_features,2rmwqU7yzTvzkiaRV53DpT,spotify:track:2rmwqU7yzTvzkiaRV53DpT,https://api.spotify.com/v1/tracks/2rmwqU7yzTvzkiaRV53DpT,https://api.spotify.com/v1/audio-analysis/2rmwqU7yzTvzkiaRV53DpT,187108.0,4.0
Tennessee Orange,Megan Moroney,78,0.38,0.488,9.0,-6.637,1.0,0.029,0.126,7.23e-06,0.115,0.268,156.031,audio_features,29zZmiBDLykYYTj7RN6VhV,spotify:track:29zZmiBDLykYYTj7RN6VhV,https://api.spotify.com/v1/tracks/29zZmiBDLykYYTj7RN6VhV,https://api.spotify.com/v1/audio-analysis/29zZmiBDLykYYTj7RN6VhV,223120.0,3.0
Bad Habit,Steve Lacy,92,0.686,0.507,1.0,-7.097,1.0,0.0357,0.626,7.51e-05,0.383,0.69,168.955,audio_features,5CM4UuQ9Gnd6K2YyKGPMoK,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,https://api.spotify.com/v1/tracks/5CM4UuQ9Gnd6K2YyKGPMoK,https://api.spotify.com/v1/audio-analysis/5CM4UuQ9Gnd6K2YyKGPMoK,232115.0,4.0
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,90,0.801,0.601,8.0,-7.574,0.0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,audio_features,0hquQWY3xvYqN4qtiquniF,spotify:track:0hquQWY3xvYqN4qtiquniF,https://api.spotify.com/v1/tracks/0hquQWY3xvYqN4qtiquniF,https://api.spotify.com/v1/audio-analysis/0hquQWY3xvYqN4qtiquniF,182907.0,4.0
Way of the Triune God - Hallelujah Version,Tyler Childers,64,0.696,0.583,10.0,-6.384,1.0,0.0307,0.629,0.0,0.123,0.543,79.057,audio_features,2BJy4svtrGACqRB5BFLOK6,spotify:track:2BJy4svtrGACqRB5BFLOK6,https://api.spotify.com/v1/tracks/2BJy4svtrGACqRB5BFLOK6,https://api.spotify.com/v1/audio-analysis/2BJy4svtrGACqRB5BFLOK6,208813.0,4.0
This Is Halloween,The Citizens of Halloween,72,0.569,0.508,7.0,-12.823,1.0,0.0502,0.768,0.0,0.145,0.647,167.624,audio_features,01YROQCnF1AQm7SCWJmD2o,spotify:track:01YROQCnF1AQm7SCWJmD2o,https://api.spotify.com/v1/tracks/01YROQCnF1AQm7SCWJmD2o,https://api.spotify.com/v1/audio-analysis/01YROQCnF1AQm7SCWJmD2o,196560.0,4.0
Neon You,Don Louis,43,0.663,0.816,8.0,-4.412,1.0,0.0273,0.147,9.58e-06,0.131,0.866,107.999,audio_features,2AlEprA31NMOha3nS5TLvI,spotify:track:2AlEprA31NMOha3nS5TLvI,https://api.spotify.com/v1/tracks/2AlEprA31NMOha3nS5TLvI,https://api.spotify.com/v1/audio-analysis/2AlEprA31NMOha3nS5TLvI,187907.0,4.0
"1,2,3 Eoi!",MAMAMOO,52,0.862,0.875,2.0,-2.476,1.0,0.149,0.0664,9.97e-06,0.0778,0.822,120.084,audio_features,1uYgNXNnBTQnboOwlYBLd1,spotify:track:1uYgNXNnBTQnboOwlYBLd1,https://api.spotify.com/v1/tracks/1uYgNXNnBTQnboOwlYBLd1,https://api.spotify.com/v1/audio-analysis/1uYgNXNnBTQnboOwlYBLd1,176093.0,4.0
